# OSU MPI Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.05
2                      10.22
4                      20.11
8                      41.91
16                     57.68
32                    116.41
64                    236.73
128                   436.93
256                   662.77
512                  1253.00
1024                 2131.24
2048                 3081.04
4096                 4203.60
8192                 6754.88
16384                9757.95
32768               12342.74
65536               15731.13
131072              16251.87
262144               8674.43
524288              10374.20
1048576             10548.00
2097152             10642.86
4194304             10466.62
